company_name,career_url,website,industry,category,country,state,headquarters,company_size,founded_year,ats_platform,ats_token,ats_confidence,ats_detection_method,internship_available,graduate_program,freshers_hiring,remote_friendly,ai_hiring_score,hiring_frequency,preferred_roles,preferred_technologies,tech_stack,career_status,last_verified_date,india_priority,ai_data_relevance,fresher_potential,url_confidence,recommended_for_ai_data,source,http_status,redirect_url,verified_career_url,discovered_ats_url,ats_tenant,ats_board,active_status
Abbott India,https://www.abbott.co.in/,https://www.abbott.co.in/,Pharmaceuticals & Diagnostics,pharma,IN,Maharashtra,Mumbai,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,6,Unknown,Data Engineer; QA Engineer; Software Engineer,Python; SQL; SAP; Validation,Python; SQL; SAP; Validation,homepage_only,2026-07-22,Tier 1,High,Possible,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
AbbVie,https://www.abbvie.com/careers,https://www.abbvie.com/,"Healthcare, Pharma & MedTech",pharma,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,blocked,2026-08-09,Tier 1,High,Possible,Verify,Monitor,mnc_excel_2026,403,https://www.abbvie.com/join-us.html,,,,,True
AbhiBus,https://www.abhibus.com/careers,https://www.abhibus.com/,Bus Ticketing,travel,IN,Telangana,Hyderabad,mid,Unknown,smartrecruiters,AbhiBus,0.95,page_body,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
AbsolutData,https://www.absolutdata.com/careers/,https://www.absolutdata.com/,Analytics / AI services,analytics_ai,IN,Haryana,Gurugram,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,timeout,2026-07-22,,,,,,,,,,,,,True
Absolute,https://careers.absolute.ag/,https://www.absolute.ag/,Bio-agriculture,agritech,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,8,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,redirect,2026-07-22,,,,,,,,,,,,,True
Accenture India,https://www.accenture.com/in-en/careers,https://www.accenture.com/,IT Consulting,consulting,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,workday,accenture,0.95,page_body,Unknown,Unknown,Yes,Unknown,7,Unknown,Software Engineer; Data Analyst; QA Engineer,Java; Python; SQL; Cloud,Java; Python; SQL; Cloud,working,2026-07-22,Tier 2,Medium,Strong,High,YES,indian_seed+mnc_excel_2026,,,,,,,True
Access Healthcare,https://www.accesshealthcare.com/careers,https://www.accesshealthcare.com/,Healthcare BPM,it_services,IN,Tamil Nadu,Chennai,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,working,2026-07-22,,,,,,,,,,,,,True
Accordion (BRIDGEi2i),https://www.accordion.com/careers/,https://www.accordion.com/,Data & Analytics,consulting,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Software Engineer; Data Analyst; QA Engineer,Java; Python; SQL; Cloud,Java; Python; SQL; Cloud,working,2026-07-22,,,,,,,,,,,,,True
AccuKnox,https://www.accuknox.com/,https://www.accuknox.com/,Cloud Security,deeptech,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,homepage_only,2026-07-22,,,,,,,,,,,,,True
Acko,https://www.acko.com/careers,https://www.acko.com/,InsurTech,fintech,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,acko,0.85,seed,Unknown,Unknown,Unknown,Unknown,8,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,,,,,,,,,,,,,True
Activision Blizzard,https://www.activisionblizzard.com/careers,https://www.activisionblizzard.com/,"Telecom, Media & Entertainment",telecom,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,working,2026-08-09,Tier 2,High,Possible,High,Monitor,mnc_excel_2026,200,,https://www.activisionblizzard.com/careers,,,,True
Activision Blizzard / King India,https://careers.king.com,https://www.king.com/,Gaming,product,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,5,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,redirect,2026-07-22,,,,,,,,,,,,,True
Acuity Knowledge Partners,https://www.acuitykp.com/careers/,https://www.acuitykp.com/,Research / analytics,analytics_ai,IN,Karnataka,Bengaluru,large,Unknown,jazzhr,2Fascent,0.95,page_body,Unknown,Unknown,Unknown,Yes,6,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,redirect,2026-07-22,,,,,,,,,,,,,True
Adani Enterprises,https://www.adanienterprises.com/careers,https://www.adanienterprises.com/,Diversified Infrastructure,conglomerate,IN,Gujarat,Ahmedabad,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,redirect,2026-07-22,,,,,,,,,,,,,True
Adani Green Energy,https://www.adanigreenenergy.com/careers,https://www.adanigreenenergy.com/,Renewable Energy,energy,IN,Gujarat,"Ahmedabad, Gujarat",large,Unknown,successfactors,Unknown,0.85,seed,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Engineer; QA Engineer,Python; SQL; SCADA; Cloud,Python; SQL; SCADA; Cloud,working,2026-07-22,,,,,,,,,,,,,True
Adani Group,https://www.adani.com/careers,https://www.adani.com/,Conglomerate,conglomerate,IN,Gujarat,"Ahmedabad, Gujarat",large,Unknown,successfactors,Unknown,0.85,seed,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
Adani Ports & SEZ,https://www.adaniports.com/careers,https://www.adaniports.com/,Ports & Logistics,conglomerate,IN,Gujarat,Ahmedabad,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,redirect,2026-07-22,,,,,,,,,,,,,True
Adani Power,https://www.adanipower.com/careers,https://www.adanipower.com/,Power Generation,energy,IN,Gujarat,Ahmedabad,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Engineer; QA Engineer,Python; SQL; SCADA; Cloud,Python; SQL; SCADA; Cloud,redirect,2026-07-22,,,,,,,,,,,,,True
Adda247,https://www.adda247.com/jobs,https://www.adda247.com/,EdTech,edtech,IN,Haryana,Gurugram,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; Full Stack Engineer; Data Analyst; SDET,Node.js; React; Python; AWS,Node.js; React; Python; AWS,working,2026-07-22,,,,,,,,,,,,,True
Addverb Technologies,https://addverb.com/,https://www.addverb.com/,Warehouse Robotics,deeptech,IN,Uttar Pradesh,Noida,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,8,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,homepage_only,2026-07-22,,,,,,,,,,,,,True
Adidas,https://careers.adidas-group.com/,https://careers.adidas-group.com/,"FMCG, Retail & Consumer",retail,DE,Unknown,Germany,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,working,2026-08-09,Tier 2,High,Possible,High,Monitor,mnc_excel_2026,,,,,,,True
Aditya Birla Capital,https://www.adityabirlacapital.com/careers,https://www.adityabirlacapital.com/,Financial Services,bfsi,IN,Maharashtra,Mumbai,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Data Engineer; QA Engineer; Software Engineer,Java; Python; SQL; AWS; .NET,Java; Python; SQL; AWS; .NET,working,2026-07-22,,,,,,,,,,,,,True
Aditya Birla Fashion and Retail,https://www.abfrl.com/careers/,https://www.abfrl.com/,Fashion Retail,retail,IN,Maharashtra,Mumbai,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
Aditya Birla Group,https://careers.adityabirla.com/,https://www.adityabirla.com/,Conglomerate,conglomerate,IN,Maharashtra,Mumbai,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
Aditya Birla Health Insurance,https://www.adityabirlahealth.com/careers,https://www.adityabirlahealth.com/,Health Insurance,bfsi,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; Data Engineer; QA Engineer; Software Engineer,Java; Python; SQL; AWS; .NET,Java; Python; SQL; AWS; .NET,working,2026-07-22,,,,,,,,,,,,,True
Adobe (Frame.io India),https://careers.adobe.com,https://www.frame.io/,Software,product,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,redirect,2026-07-22,,,,,,,,,,,,,True
Adobe (Marketo/Magento India),https://careers.adobe.com,https://www.magento.com/,Software,gcc,IN,Karnataka,Bengaluru,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,redirect,2026-07-22,,,,,,,,,,,,,True
Adobe India,https://www.adobe.com/careers.html,https://www.adobe.com/,Technology,product,IN,Uttar Pradesh,"Noida, Uttar Pradesh",large,Unknown,workday,Unknown,0.85,seed,Unknown,Unknown,Yes,Yes,9,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,timeout,2026-07-22,Tier 2,Medium,Strong,High,YES,indian_seed+mnc_excel_2026,,,,,,,True
ADP India,https://jobs.adp.com,https://www.adp.com/,HR Tech / Payroll,gcc,IN,Telangana,Hyderabad,enterprise,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,blocked,2026-07-22,,,,,,,,,,,,,True
AdPushup,https://www.adpushup.com/careers/,https://www.adpushup.com/,Adtech (ad revenue optimization),saas,IN,Delhi,New Delhi,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,,,,,,,,,,,,,True
AdvantageClub,https://www.advantageclub.ai/,https://www.advantageclub.ai/,Employee engagement,hrtech,IN,Haryana,Gurugram,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,homepage_only,2026-07-22,,,,,,,,,,,,,True
AECOM,https://aecom.com/careers/,https://aecom.com/,"Real Estate, Infrastructure & Services",other,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,7,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,working,2026-08-09,Tier 2,Medium,Possible,High,Monitor,mnc_excel_2026,,,,,,,True
Aereo (Aarav Unmanned Systems),https://aereo.io/careers,https://www.aereo.io/,Drone data,deeptech,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
Affine,https://affine.ai/careers/,https://www.affine.ai/,AI & analytics services,analytics_ai,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,redirect,2026-07-22,,,,,,,,,,,,,True
Affle,https://www.affle.com/careers,https://www.affle.com/,Adtech / martech,saas,IN,Haryana,Gurugram,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,7,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,unreachable,2026-07-22,,,,,,,,,,,,,True
Agilent Technologies,https://www.agilenttechnologies.com/careers,https://www.agilenttechnologies.com/,Semiconductors & Electronics,manufacturing,US,Unknown,USA,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,not_found,2026-08-09,Tier 1,High,Possible,Broken,Monitor,mnc_excel_2026,404,,,,,,False
Agilus Diagnostics,https://www.agilus.in/careers,https://www.agilus.in/,Diagnostics,healthtech,IN,Haryana,Gurugram,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; ML Engineer; Data Scientist; QA Engineer,Python; FastAPI; AWS; SQL; ML,Python; FastAPI; AWS; SQL; ML,unreachable,2026-07-22,,,,,,,,,,,,,True
AgNext Technologies,https://www.agnext.com/,https://www.agnext.com/,AgriTech AI / vision,ai_genai,IN,Chandigarh,Chandigarh,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,homepage_only,2026-07-22,,,,,,,,,,,,,True
Agnikul Cosmos,https://agnikul.com/#/careers,https://www.agnikul.com/,Space launch vehicles,spacetech,IN,Tamil Nadu,Chennai,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,,,,,,,,,,,,,True
AGNIT Semiconductors,https://www.agnit.co.in/careers,https://www.agnit.co.in/,GaN semiconductors,deeptech,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,unreachable,2026-07-22,,,,,,,,,,,,,True
Agoda India,https://careersatagoda.com/,https://www.agoda.com/,Online Travel,travel,IN,Haryana,Gurugram,large,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,blocked,2026-07-22,,,,,,,,,,,,,True
AgroStar,https://agrostar.in/careers,https://www.agrostar.in/,AgriTech marketplace,agritech,IN,Maharashtra,Pune,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,not_found,2026-07-22,,,,,,,,,,,,,False
AgVa Healthcare,https://www.agvahealthcare.com/,https://www.agvahealthcare.com/,Medtech / Ventilators,healthtech,IN,Uttar Pradesh,Noida,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; ML Engineer; Data Scientist; QA Engineer,Python; FastAPI; AWS; SQL; ML,Python; FastAPI; AWS; SQL; ML,timeout,2026-07-22,,,,,,,,,,,,,True
AIG India,https://www.aig.com/careers,https://www.aig.com/,Insurance,gcc,IN,Karnataka,Bengaluru,large,Unknown,workday,aig,0.95,page_body,Unknown,Unknown,Possible,Yes,6,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,working,2026-08-09,Tier 2,High,Possible,High,Monitor,indian_seed+mnc_excel_2026,200,,https://www.aig.com/careers,https://aig.wd1.myworkdayjobs.com/aig,aig,aig,True
Aindra Systems,https://www.aindra.in/,https://www.aindra.in/,Diagnostics AI / Pathology,healthtech,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; ML Engineer; Data Scientist; QA Engineer,Python; FastAPI; AWS; SQL; ML,Python; FastAPI; AWS; SQL; ML,unreachable,2026-07-22,,,,,,,,,,,,,True
Air France-KLM,https://www.airfrance-klm.com/careers,https://www.airfrance-klm.com/,"Logistics, Travel & Aviation",other,FR,Unknown,France,large,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,unverified,2026-08-09,Tier 2,High,Possible,Verify,Monitor,mnc_excel_2026,0,,,,,,True
Air Liquide,https://www.airliquide.com/careers,https://www.airliquide.com/,"Industrial, Engineering & Energy",manufacturing,FR,Unknown,France,large,Unknown,workday,airliquidehr,0.95,live_probe,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,redirected,2026-08-09,Tier 2,High,Possible,High,Monitor,mnc_excel_2026,200,,https://www.airliquide.com/join-us/careers-air-liquide,https://airliquidehr.wd3.myworkdayjobs.com/AirLiquideExternalCareer,airliquidehr,AirLiquideExternalCareer,True
Air Products,https://www.airproducts.com/careers,https://www.airproducts.com/,"Industrial, Engineering & Energy",manufacturing,US,Unknown,USA,large,Unknown,workday,airproducts,0.95,live_probe,Unknown,Unknown,Possible,Unknown,9,Unknown,AI Engineer; Machine Learning Engineer; Data Scientist; Data Engineer; Data Analyst; Software Engineer; Backend Engineer,Python; Machine Learning; SQL; Cloud; Data Engineering,Python; Machine Learning; SQL; Cloud; Data Engineering,working,2026-08-09,Tier 2,High,Possible,High,Monitor,mnc_excel_2026,200,,https://www.airproducts.com/careers,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001,airproducts,AP0001,True
Airbase,https://www.airbase.com/careers,https://www.airbase.com/,Fintech SaaS (spend management),saas,IN,Maharashtra,Pune,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,redirect,2026-07-22,,,,,,,,,,,,,True
Airbnb,https://careers.airbnb.com,https://www.airbnb.com/,Travel/Tech,product,IN,Karnataka,Bengaluru,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Yes,Yes,7,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,working,2026-07-22,Tier 1,High,Strong,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
Airbus India,https://www.airbus.com/en/careers,https://www.airbus.com/,Aerospace,aerospace,IN,Karnataka,Bengaluru,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Unknown,9,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,Tier 2,High,Possible,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
Airmeet,https://www.airmeet.com/careers,https://www.airmeet.com/,B2B SaaS (virtual events),saas,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,,,,,,,,,,,,,True
AiSensy,https://aisensy.com/careers,https://www.aisensy.com/,Martech (WhatsApp marketing),saas,IN,Haryana,Gurugram,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,unreachable,2026-07-22,,,,,,,,,,,,,True
