company_name,career_url,website,industry,category,country,state,headquarters,company_size,founded_year,ats_platform,ats_token,ats_confidence,ats_detection_method,internship_available,graduate_program,freshers_hiring,remote_friendly,ai_hiring_score,hiring_frequency,preferred_roles,preferred_technologies,tech_stack,career_status,last_verified_date,probe_status,job_count
Karya,https://www.karya.in/,https://www.karya.in/,AI data / language,ai_genai,IN,Karnataka,Bengaluru,startup,Unknown,greenhouse,karya,0.95,page_body,Unknown,Unknown,Unknown,Yes,6,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,working,2026-07-22,OK,13
Level AI,https://thelevel.ai/careers/,https://www.thelevel.ai/,Contact center AI,ai_genai,IN,Karnataka,Bengaluru,startup,Unknown,lever,levelai,0.95,page_body,Unknown,Unknown,Unknown,Yes,7,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,working,2026-07-22,OK,1
Meesho,https://www.meesho.io/jobs,https://www.meesho.io/,E-commerce,ecommerce,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,meesho,0.85,seed,Unknown,Unknown,Unknown,Unknown,8,Unknown,Backend Engineer; Data Scientist; SDET; Full Stack Engineer,Java; Python; React; AWS; Kafka,Java; Python; React; AWS; Kafka,working,2026-07-22,OK,1
MindTickle,https://www.mindtickle.com/careers,https://www.mindtickle.com/,SaaS,saas,IN,Maharashtra,"Pune, Maharashtra",large,Unknown,lever,mindtickle,0.85,seed,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,redirect,2026-07-22,OK,1
Nanonets,https://nanonets.com/careers,https://www.nanonets.com/,Document AI,saas,IN,Karnataka,Bengaluru,startup,Unknown,greenhouse,nanonets,0.95,page_body,Unknown,Unknown,Unknown,Yes,9,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,OK,17
Nielsen,https://www.nielsen.com/careers/,https://www.nielsen.com/,Analytics/Media,product,IN,Karnataka,Bengaluru,enterprise,Unknown,smartrecruiters,TheNielsenCompany,0.95,page_body,Unknown,Unknown,Unknown,Yes,6,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,working,2026-07-22,OK,134
Observe.ai,https://www.observe.ai/careers,https://www.observe.ai/,Conversational AI,analytics_ai,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,greenhouse,observeai,0.85,seed,Unknown,Unknown,Unknown,Yes,9,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,working,2026-07-22,OK,16
Paytm,https://paytm.com/careers,https://www.paytm.com/,FinTech,fintech,IN,Uttar Pradesh,"Noida, Uttar Pradesh",large,Unknown,lever,paytm,0.95,page_body,Unknown,Unknown,Unknown,Unknown,8,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,OK,1
Porter,https://porter.in/careers,https://www.porter.in/,Logistics,unicorn,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,porter,0.85,seed,Unknown,Unknown,Unknown,Unknown,7,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,OK,1
Postman,https://www.postman.com/company/careers,https://www.postman.com/,Developer Tools,saas,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,greenhouse,postman,0.85,seed,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,timeout,2026-07-22,OK,108
Safe Security,https://jobs.safe.security/,https://www.safe.security/,Cyber risk,saas,IN,Karnataka,Bengaluru,startup,Unknown,lever,safe,0.95,page_body,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,OK,1
Turing,https://careers.turing.com/,https://www.turing.com/,AI Talent Platform,analytics_ai,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,greenhouse,turing,0.85,seed,Unknown,Unknown,Unknown,Yes,9,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,working,2026-07-22,OK,28
Zenoti,https://www.zenoti.com/careers,https://www.zenoti.com/,Wellness SaaS,saas,IN,Telangana,Hyderabad,mid,Unknown,greenhouse,zenoti,0.95,page_body,Unknown,Unknown,Unknown,Yes,6,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,redirect,2026-07-22,OK,36
Zeta,https://www.zeta.tech/careers,https://www.zeta.tech/,FinTech,fintech,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,zeta,0.85,seed,Unknown,Unknown,Unknown,Unknown,8,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,redirect,2026-07-22,OK,1
